instance,expression,cost,runtime_sec,feasible,num_routes,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
P-n23-k8,dist_matrix[current][c],746.0,0.0019326210021972656,True,9,0,529.0,P,23,217.0,41.02079395085066
A-n38-k5,dist_matrix[current][c],1084.0,0.005939960479736328,True,5,0,730.0,A,38,354.0,48.49315068493151
A-n33-k5,dist_matrix[current][c],977.0,0.004799604415893555,True,5,0,661.0,A,33,316.0,47.806354009077154
B-n35-k5,dist_matrix[current][c],1304.0,0.004254817962646484,True,5,0,955.0,B,35,349.0,36.544502617801044
B-n31-k5,dist_matrix[current][c],887.0,0.003242969512939453,True,5,0,672.0,B,31,215.0,31.994047619047617
A-n48-k7,dist_matrix[current][c],1475.0,0.006285429000854492,True,7,0,1073.0,A,48,402.0,37.46505125815471
A-n39-k5,dist_matrix[current][c],1070.0,0.004276752471923828,True,5,0,822.0,A,39,248.0,30.170316301703163
A-n37-k6,dist_matrix[current][c],1334.0,0.0034666061401367188,True,6,0,949.0,A,37,385.0,40.56902002107481
P-n16-k8,dist_matrix[current][c],497.0,0.0006420612335205078,True,8,0,450.0,P,16,47.0,10.444444444444445
A-n37-k5,dist_matrix[current][c],948.0,0.005167722702026367,True,5,0,669.0,A,37,279.0,41.70403587443946
P-n70-k10,dist_matrix[current][c],1010.0,0.01837944984436035,True,10,0,827.0,P,70,183.0,22.128174123337363
E-n76-k8,dist_matrix[current][c],1081.0,0.017331600189208984,True,8,0,735.0,E,76,346.0,47.074829931972786
A-n55-k9,dist_matrix[current][c],1500.0,0.00986933708190918,True,9,0,1073.0,A,55,427.0,39.79496738117428
A-n54-k7,dist_matrix[current][c],1421.0,0.00905609130859375,True,7,0,1167.0,A,54,254.0,21.765209940017137
A-n62-k8,dist_matrix[current][c],1775.0,0.01241755485534668,True,8,0,1288.0,A,62,487.0,37.81055900621118
B-n52-k7,dist_matrix[current][c],1276.0,0.007893085479736328,True,7,0,747.0,B,52,529.0,70.81659973226239
B-n56-k7,dist_matrix[current][c],1248.0,0.010753393173217773,True,7,0,707.0,B,56,541.0,76.52050919377652
P-n55-k7,dist_matrix[current][c],754.0,0.010439157485961914,True,7,0,568.0,P,55,186.0,32.74647887323944
P-n65-k10,dist_matrix[current][c],1096.0,0.015428781509399414,True,10,0,792.0,P,65,304.0,38.38383838383838
B-n63-k10,dist_matrix[current][c],2002.0,0.012071371078491211,True,10,0,1496.0,B,63,506.0,33.82352941176471
E-n101-k14,dist_matrix[current][c],1658.0,0.030385255813598633,True,14,0,1067.0,E,101,591.0,55.38894095595126
E-n101-k8,dist_matrix[current][c],1176.0,0.03236031532287598,True,8,0,815.0,E,101,361.0,44.29447852760736
F-n135-k7,dist_matrix[current][c],1792.0,0.06921911239624023,True,7,0,1162.0,F,135,630.0,54.21686746987952
M-n101-k10,dist_matrix[current][c],1299.0,0.0357365608215332,True,10,0,820.0,M,101,479.0,58.41463414634146
M-n121-k7,dist_matrix[current][c],1552.0,0.05295968055725098,True,7,0,1034.0,M,121,518.0,50.09671179883946
M-n151-k12,dist_matrix[current][c],1547.0,0.07938241958618164,True,12,0,1015.0,M,151,532.0,52.41379310344828
M-n200-k16,dist_matrix[current][c],1989.0,0.14157986640930176,True,17,0,1274.0,M,200,715.0,56.12244897959183
M-n200-k17,dist_matrix[current][c],1989.0,0.1288611888885498,True,17,0,1275.0,M,200,714.0,56.00000000000001
P-n101-k4,dist_matrix[current][c],1021.0,0.03328537940979004,True,4,0,681.0,P,101,340.0,49.926578560939795
P-n23-k8,dist_matrix[current][c] - 2 * instance['demands'][c],653.0,0.0023827552795410156,True,9,0,529.0,P,23,124.0,23.440453686200378
A-n38-k5,dist_matrix[current][c] - 2 * instance['demands'][c],912.0,0.0072820186614990234,True,5,0,730.0,A,38,182.0,24.93150684931507
A-n33-k5,dist_matrix[current][c] - 2 * instance['demands'][c],928.0,0.005091428756713867,True,5,0,661.0,A,33,267.0,40.39334341906203
B-n35-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1164.0,0.00635838508605957,True,5,0,955.0,B,35,209.0,21.8848167539267
B-n31-k5,dist_matrix[current][c] - 2 * instance['demands'][c],909.0,0.0052912235260009766,True,5,0,672.0,B,31,237.0,35.267857142857146
A-n48-k7,dist_matrix[current][c] - 2 * instance['demands'][c],1507.0,0.010718584060668945,True,7,0,1073.0,A,48,434.0,40.44734389561976
A-n39-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1131.0,0.006391048431396484,True,5,0,822.0,A,39,309.0,37.591240875912405
A-n37-k6,dist_matrix[current][c] - 2 * instance['demands'][c],1409.0,0.006132841110229492,True,6,0,949.0,A,37,460.0,48.472075869336145
P-n16-k8,dist_matrix[current][c] - 2 * instance['demands'][c],497.0,0.001049041748046875,True,8,0,450.0,P,16,47.0,10.444444444444445
A-n37-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1018.0,0.006118297576904297,True,5,0,669.0,A,37,349.0,52.167414050822124
