expression,num_instances,feasible_rate,avg_objective,avg_cost,avg_distance,avg_late_penalty,avg_spoil_penalty,avg_late_customers,avg_spoil_customers,avg_num_routes,avg_runtime_sec,complexity,behavior_signature,is_novel,mo_score,round_idx
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.023323733231116986,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",True,0.4,0
20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],29,1.0,415988.92413793097,415988.92413793097,1489.2413793103449,35207.66896551724,379292.0137931034,4.827586206896552,17.17241379310345,8.310344827586206,0.04769736322863349,49,"(415988.92, 8.31, 1.0, 35207.67, 379292.01, 9)",True,0.8495610813141248,0
5 * est_spoil + travel_to_c,29,1.0,451089.01379310346,451089.01379310346,1411.8275862068965,38642.20689655172,411034.97931034485,4.0,17.03448275862069,8.275862068965518,0.030854077174745757,15,"(451089.01, 8.28, 1.0, 38642.21, 411034.98, 3)",True,0.889350770354906,0
20 * est_spoil + travel_to_c + 2 * est_lateness,29,1.0,456127.33103448275,456127.33103448275,1422.1724137931035,37913.02068965517,416792.1379310345,3.8620689655172415,16.620689655172413,8.241379310344827,0.03405191158426219,26,"(456127.33, 8.24, 1.0, 37913.02, 416792.14, 5)",True,0.8878819796009463,0
2 * est_lateness + travel_to_c,29,1.0,407438.88965517236,407438.88965517236,1307.448275862069,13300.800000000003,392830.64137931034,1.1724137931034482,17.689655172413794,8.241379310344827,0.02946200864068393,15,"(407438.89, 8.24, 1.0, 13300.8, 392830.64, 3)",True,0.420700629135003,1
20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],29,1.0,415988.92413793097,415988.92413793097,1489.2413793103449,35207.66896551724,379292.0137931034,4.827586206896552,17.17241379310345,8.310344827586206,0.04817334536848397,49,"(415988.92, 8.31, 1.0, 35207.67, 379292.01, 9)",False,0.5752463144084262,1
10 * est_spoil + travel_to_c - 2 * instance['demands'][c],29,1.0,430693.60000000003,430693.60000000003,1535.0344827586207,39599.034482758616,389559.53103448276,9.172413793103448,21.82758620689655,8.241379310344827,0.041474638314082705,38,"(430693.6, 8.24, 1.0, 39599.03, 389559.53, 7)",True,0.5961937481482713,1
5 * est_lateness + (est_spoil + travel_to_c),29,1.0,441429.9655172414,441429.9655172414,1404.2413793103449,20944.110344827586,419081.6137931035,1.896551724137931,16.17241379310345,8.241379310344827,0.03667927610463109,21,"(441429.97, 8.24, 1.0, 20944.11, 419081.61, 4)",True,0.5256173310913094,1
10 * est_spoil + travel_to_c,29,1.0,452717.06206896546,452717.06206896546,1413.9655172413793,38664.96551724137,412638.13103448274,4.0344827586206895,16.862068965517242,8.241379310344827,0.0302563371329472,15,"(452717.06, 8.24, 1.0, 38664.97, 412638.13, 3)",True,0.5552707702262342,1
20 * est_spoil + travel_to_c + 2 * est_lateness,29,1.0,456127.33103448275,456127.33103448275,1422.1724137931035,37913.02068965517,416792.1379310345,3.8620689655172415,16.620689655172413,8.241379310344827,0.033012825867225384,26,"(456127.33, 8.24, 1.0, 37913.02, 416792.14, 5)",False,0.5731409512742945,1
0.5 * est_lateness + travel_to_c - instance['demands'][c],29,1.0,491742.103448276,491742.103448276,1370.4137931034484,50932.80000000002,439438.8896551724,4.827586206896552,21.724137931034484,8.172413793103448,0.040968253694731616,33,"(491742.1, 8.17, 1.0, 50932.8, 439438.89, 6)",True,0.6053522829661926,1
10 * est_spoil + travel_to_c + 5 * est_lateness + 0.5 * instance['demands'][c],29,1.0,520893.84137931035,520893.84137931035,1489.3793103448277,53560.744827586204,465843.7172413793,3.8275862068965516,19.17241379310345,8.413793103448276,0.04916041472862507,49,"(520893.84, 8.41, 1.0, 53560.74, 465843.72, 9)",True,0.7701572997975011,1
travel_to_c - 2 * instance['demands'][c],29,1.0,542391.0068965518,542391.0068965518,1455.1724137931035,57894.151724137955,483041.68275862077,8.03448275862069,26.137931034482758,8.172413793103448,0.03887713366541369,27,"(542391.01, 8.17, 1.0, 57894.15, 483041.68, 5)",True,0.7189958720102754,1
travel_to_c + instance['demands'][c],29,1.0,574693.7931034482,574693.7931034482,1461.655172413793,58085.37931034483,515146.7586206897,6.0,24.06896551724138,8.310344827586206,0.036665875336219525,22,"(574693.79, 8.31, 1.0, 58085.38, 515146.76, 4)",True,0.796290849214308,1
20 * est_spoil + travel_to_c + est_lateness + instance['demands'][c],29,1.0,579985.4344827585,579985.4344827585,1513.5862068965516,64024.44137931034,514447.4068965517,6.206896551724138,22.896551724137932,8.413793103448276,0.04338526725769043,39,"(579985.43, 8.41, 1.0, 64024.44, 514447.41, 7)",True,0.8691347591423306,1
